time,soil,light,ph,steam,dh_h,dh_t,therm,lm35
227,1.4046154,0.78410252,0.6000004,0.092673992,63,19,19.632354,20.549452
229,1.4046154,0.78410252,0.6000004,0.092673992,63,19,19.632354,20.549452
230,1.3522344,0.78410252,0.6000004,0.091868132,63,19,19.632354,20.549452
231,1.3522344,0.7720146,0.6000004,0.091868132,63,19,19.605438,20.549452
233,1.3522344,0.7720146,0.6000004,0.086227108,63,19,19.605438,20.549452
234,1.3546519,0.7720146,0.6000004,0.08300366,63,19,19.524536,20.549452
235,1.3594872,0.7478388,0.6000004,0.07897436,63,19,19.524536,20.549452
237,1.3594872,0.7478388,0.6000004,0.07897436,63,19,19.524536,19.824176
238,1.3546519,0.933186736,0.6000004,0.0781685,63,19,19.443604,19.824176
239,1.3546519,0.729304,0.6000004,0.07897436,63,19,19.443604,19.824176
240,1.3594872,0.933186736,0.6000004,0.07978021,63,19,19.443604,19.824176
242,1.3643223,0.933186736,0.6000004,0.07978021,63,19,19.605438,19.824176
243,1.3643223,0.83003668,0.6000004,0.08139194,63,19,19.605438,19.904762
244,1.3925275,0.83003668,0.6000004,0.08380952,63,19,19.605438,20.065936
246,1.3860806,0.83003668,0.6000004,0.08380952,63,19,19.524536,20.065936
247,1.3860806,0.83003668,0.6000004,0.086227108,63,19,19.524536,20.14652
248,1.3860806,0.85098904,0.6000004,0.086227108,63,19,19.497558,20.14652
249,1.3925275,0.85098904,0.6000004,0.08380952,63,19,19.497558,20.549452
251,1.4030036,0.85098904,0.6000004,0.08300366,63,19,19.497558,20.549452
252,1.4038096,0.9734798,0.6000004,0.08139194,63,19,19.73999,20.710622
253,1.4038096,0.9734798,0.6000004,0.08139194,63,19,19.73999,20.710622
255,1.4134798,0.9404395,0.6000004,0.08139194,63,19,19.73999,20.710622
256,1.4038096,0.948498136,0.6000004,0.08139194,63,19,19.73999,20.791208
257,1.4038096,0.9404395,0.6000004,0.08139194,63,19,19.686188,20.307692
258,1.3764102,0.9404395,0.6000004,0.08139194,63,19,19.470582,20.307692
260,1.3764102,0.9404395,0.6000004,0.08058608,63,19,19.362548,19.985348
261,1.3764102,0.9372161,0.6000004,0.08058608,63,19,19.33551,19.985348
262,1.3764102,0.9372161,0.6000004,0.08058608,63,19,19.33551,19.985348
264,1.3917216,0.9372161,0.6000004,0.08058608,63,19,19.33551,20.065936
265,1.3957509,0.7978022,0.6000004,0.08300366,63,19,19.33551,20.065936
266,1.4142857,0.7978022,0.6000004,0.08542124,63,19,19.470582,20.468866
267,1.407033,0.8832235,0.6000004,0.08542124,63,19,19.73999,20.468866
269,1.407033,0.7978022,0.6000004,0.086227108,63,19,19.793732,20.468866
270,1.407033,0.8832235,0.6000004,0.086227108,63,19,19.793732,20.468866
271,1.3675458,0.9114286,0.6000004,0.086227108,63,19,19.793732,19.985348
273,1.3675458,0.8832235,0.6000004,0.08703297,63,19,19.73999,19.985348
274,1.3675458,0.9114286,0.6000004,0.08703297,63,19,19.73999,19.985348
275,1.3667399,0.9420513,0.6000004,0.086227108,63,19,19.73999,20.388278
276,1.365934,0.9114286,0.6000004,0.08703297,63,19,19.766876,20.388278
278,1.365934,0.9420513,0.6000004,0.08783882,63,19,19.766876,20.388278
279,1.3473992,0.9420513,0.6000004,0.08542124,63,19,19.766876,20.065936
280,1.3473992,0.77765568,0.6000004,0.08783882,63,19,19.281402,20.065936
282,1.3473992,0.77765568,0.6000004,0.089450548,63,19,19.281402,20.065936
283,1.3610989,0.77765568,0.6000004,0.090256416,63,19,19.281402,20.065936
284,1.3667399,0.76959704,0.6000004,0.089450548,63,19,19.308442,20.065936
286,1.3675458,0.76959704,0.6000004,0.090256416,63,19,19.33551,20.14652
287,1.4062271,0.8364835,0.6000004,0.089450548,63,19,19.362548,20.468866
288,1.4062271,0.76959704,0.6000004,0.089450548,63,19,19.362548,20.468866
289,1.3731867,0.8364835,0.6000004,0.089450548,63,19,19.362548,20.227106
291,1.3731867,0.8364835,0.6000004,0.089450548,63,19,19.362548,20.227106
292,1.3586813,0.7889377,0.6000004,0.089450548,63,19,19.362548,20.227106
293,1.3586813,0.7889377,0.6000004,0.089450548,63,19,19.362548,20.065936
295,1.3586813,0.9517216,0.6000004,0.0821978,63,19,19.389556,20.065936
296,1.3747985,0.7889377,0.6000004,0.0821978,62,19,19.389556,20.549452
297,1.4118682,0.9517216,0.6000004,0.08461539,63,19,19.416596,20.630038
298,1.4118682,0.9517216,0.6000004,0.08380952,62,19,19.416596,20.549452
300,1.4118682,0.89611716,0.6000004,0.08461539,62,19,19.362548,20.549452
301,1.3619047,0.89611716,0.6000004,0.08461539,62,19,19.33551,20.14652
302,1.3619047,0.89611716,0.6000004,0.08380952,62,19,19.33551,20.065936
304,1.3619047,0.8469597,0.6000004,0.08380952,62,19,19.281402,19.985348
305,1.3667399,0.8469597,0.6000004,0.08380952,62,19,19.33551,19.904762
306,1.3667399,0.8469597,0.6000004,0.08300366,62,19,19.118804,19.904762
307,1.3707692,0.8098901,0.6000004,0.08300366,62,19,19.33551,19.904762
309,1.3707692,0.8098901,0.6000004,0.08542124,62,19,19.416596,20.065936
310,1.4030036,0.933186736,0.6000004,0.08864469,62,19,19.659272,20.549452
311,1.4030036,0.8098901,0.6000004,0.08864469,62,19,19.659272,20.630038
313,1.4191208,0.933186736,0.6000004,0.08864469,62,19,19.659272,20.791208
314,1.4030036,0.9396337,0.6000004,0.08703297,62,19,19.686188,20.791208
315,1.3957509,0.933186736,0.6000004,0.086227108,62,19,19.524536,20.871796
316,1.3933333,0.9396337,0.6000004,0.086227108,62,19,19.281402,20.871796
318,1.3933333,0.9396337,0.6000004,0.086227108,62,19,19.416596,20.871796
319,1.3610989,0.8348718,0.6000004,0.086227108,62,19,19.524536,20.065936
320,1.3610989,0.8348718,0.6000004,0.086227108,62,19,19.524536,19.904762
322,1.3610989,0.8348718,0.6000004,0.086227108,62,19,19.551514,19.743592
323,1.365934,0.8098901,0.6000004,0.08703297,62,19,19.73999,19.743592
324,1.3772161,0.8348718,0.6000004,0.08703297,62,19,19.73999,19.743592
325,1.3772161,0.8292308,0.6000004,0.086227108,62,19,19.551514,20.388278
327,1.3699634,0.8098901,0.6000004,0.086227108,62,19,19.497558,20.388278
328,1.3699634,0.8292308,0.6000004,0.08542124,62,19,19.33551,20.871796
329,1.3699634,0.97589748,0.6000004,0.08380952,62,19,19.33551,20.871796
331,1.3699634,0.8292308,0.6000004,0.08380952,62,19,19.33551,20.791208
332,1.3981684,0.8977289,0.6000004,0.08542124,62,19,19.605438,20.791208
333,1.400586,0.8977289,0.6000004,0.08461539,62,19,19.713074,20.791208
335,1.400586,0.8977289,0.6000004,0.086227108,62,19,19.713074,20.791208
336,1.400586,0.8816117,0.6000004,0.08864469,62,19,19.605438,20.791208
337,1.4021978,0.8816117,0.6000004,0.08783882,62,19,19.605438,20.630038
338,1.4279854,0.8816117,0.6000004,0.08783882,62,19,19.820588,20.630038
340,1.3804395,1.0089377,0.6000004,0.08783882,62,19,19.362548,20.791208
341,1.4279854,0.8816117,0.6000004,0.08783882,62,19,19.362548,20.630038
342,1.4279854,0.9662271,0.6000004,0.08783882,62,19,19.254334,20.630038
344,1.3804395,1.0032967,0.6000004,0.08783882,62,19,19.254334,20.14652
345,1.3804395,0.9662271,0.6000004,0.08783882,62,19,19.254334,20.065936
346,1.3796337,0.9662271,0.6000004,0.08783882,62,19,19.254334,19.985348
347,1.3796337,0.9734798,0.6000004,0.08783882,62,19,19.281402,19.985348
349,1.4271794,0.9734798,0.6000004,0.08783882,62,19,19.281402,20.065936
350,1.4271794,0.9734798,0.6000004,0.090256416,62,19,19.281402,20.630038
351,1.4142857,0.97912088,0.6000004,0.09106227,62,19,19.281402,20.630038
353,1.423956,0.97912088,0.6000004,0.09106227,62,19,19.389556,20.630038
354,1.4142857,0.97912088,0.6000004,0.09106227,62,19,19.416596,20.630038
355,1.4118682,0.97912088,0.6000004,0.09106227,62,19,19.470582,20.630038
356,1.4118682,0.8131136,0.6000004,0.09106227,62,19,19.470582,20.871796
358,1.4191208,0.8131136,0.6000004,0.09106227,62,19,19.659272,20.871796
359,1.4142857,0.8131136,0.6000004,0.09106227,62,19,19.659272,21.032966
360,1.4142857,0.79941384,0.6000004,0.092673992,62,19,19.470582,21.032966
362,1.4142857,0.8131136,0.6000004,0.092673992,62,19,19.416596,20.871796
363,1.383663,0.7978022,0.6000004,0.09106227,62,19,19.605438,20.227106
364,1.383663,0.7978022,0.6000004,0.092673992,62,19,19.605438,20.227106
